pitch_category,zone,did_mean,did_se,soto_mean,anthony_mean,ci_low,ci_high,sig
fastball,Heart,-0.008169448329390547,0.017734914665553738,0.0030057899006011753,-0.005163658428789365,-0.042929881073875874,0.026590984415094783,FALSE
fastball,Shadow,-0.060247930999035366,0.09738133248434658,0.0034381511452135035,-0.056809779853822,-0.25111534266835467,0.13061948067028392,FALSE
fastball,Chase,-0.003515110462336938,0.05284121546882227,0.0013953180998732542,-0.002119792362463624,-0.10708389278122858,0.10005367185655471,FALSE
breaking,Heart,-0.00460652217625127,0.02252611345809891,4.5174344290385406e-4,-0.004154778733347419,-0.048757704554125134,0.03954466020162259,FALSE
breaking,Shadow,0.0170057624002428,0.12243348602328107,-0.01005336517913332,0.0069523972211095264,-0.2229638702053881,0.2569753950058737,FALSE
breaking,Chase,0.008120161648698566,0.05271413009045256,-0.0021349613453402025,0.005985200303358372,-0.09519953332858845,0.11143985662598559,FALSE
offspeed,Heart,-0.004403212315444612,0.020058910453362406,-0.0012797568839083937,-0.005682969199353008,-0.04371867680403493,0.034912252173145704,FALSE
offspeed,Shadow,-0.058709975207759495,0.13656316906817176,-0.0203052474524806,-0.07901522266024016,-0.32637378658137617,0.20895383616585717,FALSE
offspeed,Chase,-8.187593094601505e-4,0.06308593754168096,-0.004923770997716259,-0.0057425303071765065,-0.12446719689115483,0.12282967827223452,FALSE
